,Product link,Product name,Product Model,Product Type,Product price,Product police number,Product police number type,Product Mileage,Production year,Product post location,Product color,Product fuel type,Product Transmission
107,https://toyotatrust.astra.co.id/MITSUBISHI-PAJERO-PAJERO-SPORT-2.5-DAKAR-AT-DIESEL-AT-2014-4188,MITSUBISHI PAJERO PAJERO SPORT 2.5 DAKAR AT DIESEL AT 2014,PAJERO,PAJERO SPORT 2.5 DAKAR AT DIESEL,Rp 310.000.000,BK 1871 AAX,odd,167142,2014,Medan,WHITE,DIESEL,AT
108,https://toyotatrust.astra.co.id/MITSUBISHI-PAJERO-PAJERO-SPORT-2.4-DAKAR-AT-DIESEL-(ALL-NEW)-AT-2019-3792,MITSUBISHI PAJERO PAJERO SPORT 2.4 DAKAR AT DIESEL (ALL NEW) AT 2019,PAJERO,PAJERO SPORT 2.4 DAKAR AT DIESEL (ALL NEW),Rp 510.000.000,A 1185 RH,odd,47091,2019,Bintaro,WHITE,,AT
109,https://toyotatrust.astra.co.id/MITSUBISHI-PAJERO-PAJERO-SPORT-2.4-DAKAR-AT-DIESEL-(ALL-NEW)-AT-2017-4493,MITSUBISHI PAJERO PAJERO SPORT 2.4 DAKAR AT DIESEL (ALL NEW) AT 2017,PAJERO,PAJERO SPORT 2.4 DAKAR AT DIESEL (ALL NEW),Rp 440.000.000,BK 1829 DR,odd,82105,2017,Medan,BLACK,DIESEL,AT
110,https://toyotatrust.astra.co.id/MITSUBISHI-PAJERO-PAJERO-SPORT-2.4-DAKAR-AT-DIESEL-(ALL-NEW)-AT-2017-3861,MITSUBISHI PAJERO PAJERO SPORT 2.4 DAKAR AT DIESEL (ALL NEW) AT 2017,,,Rp 0,,,0,,,,,
111,https://toyotatrust.astra.co.id/MITSUBISHI-OUTLANDER-2.0-GLX-MT-MT-2017-4158,MITSUBISHI OUTLANDER 2.0 GLX MT MT 2017,OUTLANDER,2.0 GLX MT,Rp 190.000.000,F 1670 VA,even,38432,2017,Cibinong,BLACK,,MT
112,https://toyotatrust.astra.co.id/MAZDA-CX5-CX5-GT-AT-2020-4336,MAZDA CX5 CX5 GT AT 2020,CX5,CX5 GT,Rp 510.000.000,B 1530 JFB,even,24506,2020,Bintaro,BLACK,GASOLINE,AT
113,https://toyotatrust.astra.co.id/MAZDA-CX5-2.0-AT-TOURING-AT-2013-4190,MAZDA CX5 2.0 AT TOURING AT 2013,CX5,2.0 AT TOURING,Rp 210.000.000,B 1907 PZL,odd,75267,2013,Kalimalang,SILVER,,AT
114,https://toyotatrust.astra.co.id/HYUNDAI-I10-I10-AT-AT-2011-4455,HYUNDAI I10 I10 AT AT 2011,I10,I10 AT,Rp 75.000.000,BK 1444 YM,even,63710,2011,Medan,BLACK,GASOLINE,AT
115,https://toyotatrust.astra.co.id/HONDA-MOBILIO-MOBILIO-S-MT-(NEW)-MT-2019-4402,HONDA MOBILIO MOBILIO S MT (NEW) MT 2019,MOBILIO,MOBILIO S MT (NEW),Rp 176.600.000,L 1353 FC,odd,7257,2019,Surabaya,SILVER,GASOLINE,MT
116,https://toyotatrust.astra.co.id/HONDA-MOBILIO-MOBILIO-RS-MT-(NEW)-MT-2018-4604,HONDA MOBILIO MOBILIO RS MT (NEW) MT 2018,MOBILIO,MOBILIO RS MT (NEW),Rp 175.000.000,T 1249 FZ,odd,40625,2018,Karawang,GREY,,MT
117,https://toyotatrust.astra.co.id/HONDA-MOBILIO-MOBILIO-RS-MT-MT-2015-4070,HONDA MOBILIO MOBILIO RS MT MT 2015,MOBILIO,MOBILIO RS MT,Rp 145.000.000,BK 1067 UL,odd,60648,2015,Medan,WHITE,GASOLINE,MT
118,https://toyotatrust.astra.co.id/HONDA-JAZZ-JAZZ-E-/-RS-AT-(ALL-NEW)-AT-2017-3912,RS AT (ALL NEW) AT 2017,,,,,,,,,,,
119,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.8-RS-A/T-AT-2016-3497,T AT 2016,,,,,,,,,,,
